Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Operating Income,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),  Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,  Net Income,  Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Insider Shares Owned,Institution Shares Held,Insider Ownership %,Institutional Ownership %,Price-to-Net-Current-Asset-Value,Price-to-Net-Net-Working-Capital,Price-to-Graham-Number,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (FCF Based),Price-to-Earnings-Power-Value,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Peter-Lynch-Fair-Value,Price-to-Median-PB-Value,Price-to-Median-PS-Value,Price-to-Net-Cash
199409,27.362,4.503,3.261,0.94,0.94,2.484,0.663,2.876,0.225,18.368,18.368,116.071,11.23,20.26,33.21,2.12,57.63,6.47,1.47,0,21.66,11.92,3.67,2.42,5.835,0.101,0.588,12.49,0.144,0.239,0,41.67,23.01,-18.66,3.97,0.78,0.198,"30,622.00","23,990.00","6,632.00","1,592.00",0,"1,390.00","3,650.00",0,0,0,"-1,789.00",-35,"1,861.00",-737,39.6,"1,124.00",0,"1,124.00",72,1.04,0.94,"1,119.15","1,390.00","5,040.00","9,235.00",0,"9,235.00",0,0,"2,552.00","2,552.00",0,0,0,0,"6,394.00","6,394.00","12,152.00","30,333.00",0,0,0,0,0,"48,727.00","48,727.00","-22,738.00","25,989.00",0,0,"158,497.00","214,819.00","10,954.00",0,0,0,"10,954.00",96,0,0,0,"15,521.00","26,571.00","126,193.00",0,"126,193.00",0,"3,900.00","36,511.00","193,175.00",0,"1,659.00","13,941.00",0,0,0,"6,044.00","21,644.00",0,"21,644.00","1,124.00",0,"1,124.00","1,390.00",0,0,0,0,0,0,0,0,705,"3,219.00","-2,477.00",0,0,0,"-3,123.00","2,740.00",0,0,"-4,290.00","-7,150.00",282,0,0,"1,909.00",-300,304,"2,195.00","-1,736.00","-2,477.00",742,3.7,4.52,0.61,0.61,1.35,0.71,0.1,0,1.07,7.43,14.75,6.78,0,0,7.57,"12,218.58","130,931.58",-169.06,-151.19,-167.64,15.59,37.53,0,35.43,-218.86,0.84,7,-2.64,0.66,9.1,1.14,0.9,N/A,13.05,10.77,-7.82,9.18,135,50.05,0,"1,011.54","1,088.03",1.24,11/3/94,11/3/94,0,0,0,0,0,0,0,0,0.32,0,0,0,0.72,0,0.27,0.3,0
199412,29.986,2.988,-2.223,-0.336,-0.336,3.73,-1.381,1.643,0.26,19.312,19.312,127.844,11.29,27.67,47.71,2.89,-37.62,6.8,1.33,0,15.22,9.48,4.66,-4.6,6.047,0.099,0.596,9.43,0.155,0,0,34.48,20.6,-13.88,4.43,0.85,0.191,"33,643.00","28,524.00","5,119.00",508,0,"1,420.00","3,191.00",0,0,0,-864,-44,"2,327.00",-606,26.04,"1,721.00",0,"1,569.00",71,-0.336,-0.336,"1,121.98","5,846.00","3,352.00","6,220.00","7,602.00","13,822.00",0,0,"3,225.00","3,225.00",0,0,0,0,"6,487.00","6,487.00","5,068.00","28,602.00","9,659.00",0,0,0,0,"27,048.00","27,048.00",0,"27,048.00",0,0,"154,313.00","219,622.00","10,777.00",316,"4,641.00","11,943.00","27,677.00",155,0,0,0,0,"27,832.00","130,816.00",0,"130,816.00",0,"11,843.00","27,472.00","197,963.00","1,023.00","1,875.00","15,174.00",189,"5,273.00",0,"-1,875.00","21,659.00",0,"21,659.00","1,569.00",0,"1,569.00","5,846.00",0,0,0,0,0,0,0,0,"-5,572.00","1,843.00","5,154.00",0,0,0,"-1,469.00",938,0,0,"-14,694.00","-10,071.00",138,0,0,"5,050.00",-336,263,"5,260.00","-2,968.00","-3,392.00","-1,549.00",3.93,3.03,0.58,0.58,1.72,0.74,0.1,0,1.02,6.93,13.73,7.28,0,0,8.06,"11,566.15","130,590.15",-179.74,-167.15,-178.41,13.37,38.73,0,35.34,-129.75,0.85,7,-2.56,0.646,11.59,1.03,0.79,N/A,12,10.48,5.84,13.7,-94.22,47.85,0,"1,024.46","1,024.46",1.16,3/16/95,3/18/97,0,"337,778.00",0,0,0,0,0,0,0.32,0,0,0,0.84,0,0.26,0.29,0
199503,23.156,4.412,3.4,1.28,1.28,3.583,6.224,7.687,0.166,15.679,15.679,91.748,10.88,25.11,36.39,2.75,73.65,8.59,1.66,0,22.55,14.68,4.46,26.88,5.42,0.11,0.594,13.89,0.154,0.13,0,49.92,23.4,-26.52,3.9,0.77,0.199,"34,783.00","26,941.00","7,842.00","1,214.00",0,"1,521.00","5,107.00",0,0,0,"-2,569.00",-41,"2,538.00",-988,38.93,"1,550.00",0,"1,550.00",72,1.44,1.28,"1,502.11","1,521.00","6,628.00","11,728.00",0,"11,728.00",0,0,"3,105.00","3,105.00",0,0,0,0,"7,331.00","7,331.00","8,622.00","30,786.00",0,0,0,0,0,"51,166.00","51,166.00","-22,738.00","28,428.00",0,0,"172,811.00","232,025.00","14,740.00",0,0,0,"14,740.00",341,0,0,0,"15,777.00","30,858.00","137,474.00",0,"137,474.00",0,"4,473.00","33,793.00","206,598.00",0,"1,875.00","16,386.00",0,0,0,"7,166.00","25,427.00",0,"25,427.00","1,550.00",0,"1,550.00","1,521.00",0,0,0,0,0,0,0,0,"8,476.00","11,547.00","-2,198.00",0,0,0,"-54,008.00","45,414.00",0,0,"-1,569.00","-12,361.00",0,0,0,"5,949.00",-338,370,"5,981.00","5,167.00","-2,198.00","9,349.00",3.27,3.04,0.69,0.69,1.05,0.58,0.1,0.28,1.09,6.95,13.37,7.48,18.75,0,8.05,"16,342.96","144,304.96",-129.73,-118.29,-128.54,21.87,36.36,38.53,34.24,-102.13,0.85,6,-2.66,0.69,9.39,1,0.76,N/A,11.74,10.12,-46.62,-23.65,54.22,-6.37,11.59,"1,502.11","1,502.11",1.14,5/11/95,5/11/95,0,0,0,0,0,0,0,0,0.32,0,0,0,0.5,0.28,0.3,0.3,0
199506,22.269,4.019,3.04,1.3,1.3,3.161,-0.394,1.927,0.197,15.446,15.446,87.735,12.05,22.84,29.28,2.67,68.95,7.64,1.67,0,23.62,13.65,4.32,-1.77,5.268,0.113,0.598,14.57,0.154,0.152,0,52.64,23.26,-29.38,3.92,0.76,0.195,"36,389.00","27,795.00","8,594.00","2,027.00",0,"1,600.00","4,967.00",0,0,0,"-2,342.00",-59,"2,625.00","-1,053.00",40.11,"1,572.00",0,"1,572.00",69,1.46,1.3,"1,634.03","1,600.00","6,567.00","10,626.00",0,"10,626.00",0,0,"3,100.00","3,100.00",0,0,0,0,"6,841.00","6,841.00","17,848.00","38,415.00",0,0,0,0,0,"51,938.00","51,938.00","-22,738.00","29,200.00",0,0,"172,193.00","239,808.00","16,033.00",0,0,0,"16,033.00",796,0,0,0,"13,921.00","30,750.00","142,566.00",0,"142,566.00",0,"4,728.00","34,548.00","212,592.00",0,"1,976.00","17,567.00",0,0,0,"7,673.00","27,216.00",0,"27,216.00","1,572.00",0,"1,572.00","1,600.00",0,0,0,0,0,0,0,0,-23,"3,149.00","-3,793.00",0,0,0,"-1,386.00","-6,929.00",0,0,"1,639.00","-10,469.00",0,0,0,"5,517.00",-391,"1,058.00","6,184.00","-1,136.00","-3,793.00",-644,3.78,3.81,0.78,0.78,2.36,0.85,0.12,0.58,1.14,7.15,13.75,7.27,12.66,0,7.04,"19,690.06","154,402.06",-123.6,-107.8,-122.72,20.36,33.92,20.92,33.26,-100.25,0.89,7,-2.58,0.689,10.89,1.25,1.03,N/A,12.5,10.53,-8.78,-24.95,-9.72,-20.18,6.57,"1,634.03","1,634.03",1.04,7/27/95,7/27/95,0,0,0,0,0,0,0,0,0.36,0,0,0,0.59,0.58,0.34,0.36,0
199509,18.341,2.851,1.85,0.28,0.28,2.923,1.794,2.048,0.197,14.568,14.568,83.33,12.6,4.63,5.38,0.6,42.84,5.48,1.56,0,21.44,10.09,1.14,9.78,5.72,0.105,0.598,11.27,0.131,0.704,0,46.7,25.3,-21.4,3.61,0.79,0.218,"31,418.00","24,681.00","6,737.00","1,853.00",0,"1,715.00","3,169.00",0,0,0,"-2,655.00",-48,514,-157,30.54,357,0,357,55,0.28,0.28,"1,712.96","1,715.00","4,884.00","8,564.00",0,"8,564.00",0,0,"3,169.00","3,169.00",0,0,0,0,"6,845.00","6,845.00","10,517.00","29,095.00",0,0,0,0,0,"52,710.00","52,710.00","-22,738.00","29,972.00",0,0,"179,509.00","238,576.00","12,631.00",0,0,0,"12,631.00",793,0,0,0,"13,601.00","27,025.00","141,948.00",0,"141,948.00",0,"4,901.00","37,771.00","211,645.00",0,0,"17,533.00",0,0,0,"7,422.00","24,955.00","1,976.00","26,931.00",357,0,357,"1,715.00",0,0,0,0,0,0,0,0,"1,437.00","3,509.00",-436,0,0,0,"50,599.00","16,523.00",0,0,"-71,236.00","-4,550.00",0,0,0,"-1,641.00",-391,"1,271.00",-761,"-1,802.00",-436,"3,073.00",4.99,4.31,0.86,0.86,2.02,0.95,0.13,1.03,1.16,7.36,14.67,6.82,12.22,0,6.51,"21,583.30","157,736.30",-119.71,-107.72,-117.71,21.21,30.94,0,28.76,-94.03,0.86,7,-2.61,0.672,9.41,1.08,0.82,N/A,13.31,11.34,-4.83,-32.97,-70.21,-36.69,4.84,"1,712.96","1,712.96",0.79,11/9/95,11/9/95,0,0,0,0,0,0,0,0,0.44,0,0,0,0.59,0,0.38,0.41,0
199512,20.029,0.805,-3.185,-0.861,-0.861,5.577,-0.616,1.72,0.223,14.231,14.231,86.164,11.69,8.99,10.96,1.1,-71.76,2.43,1.21,0,9.06,3.41,1.91,-3.08,6.055,0.101,0.611,5.2,0.143,0,0,32.7,20.34,-12.36,4.49,0.91,0.203,"34,547.00","31,417.00","3,130.00",289,0,"1,664.00","1,177.00",0,0,0,-149,-39,"1,028.00",-181,17.61,847,0,660,104,-0.861,-0.861,"1,724.89","6,883.00","1,389.00","8,440.00","6,656.00","15,096.00",0,0,"3,521.00","3,521.00",0,0,0,0,"7,162.00","7,162.00","4,192.00","29,971.00","6,801.00",0,0,0,0,"31,273.00","31,273.00",0,"31,273.00",0,0,"175,238.00","243,283.00","11,260.00",316,"7,452.00","13,392.00","32,420.00","1,832.00",0,0,0,0,"34,252.00","146,792.00",0,"146,792.00",0,"11,133.00","26,559.00","218,736.00","1,160.00",0,"17,688.00",594,"5,105.00",0,0,"24,547.00",0,"24,547.00",660,0,660,"6,883.00",0,0,0,0,0,0,0,0,"-4,577.00","2,966.00","4,968.00",0,0,0,"-1,530.00","-49,631.00",0,0,"38,066.00","-8,127.00",0,0,0,"8,960.00",-439,"-3,448.00","5,073.00",-88,"-4,029.00","-1,063.00",5.85,2.1,0.82,0.82,1.67,0.87,0.14,0.93,1.12,7.89,19.83,5.04,13.86,0,6.7,"20,163.96","153,691.96",-118.06,-109.44,-115.98,19.9,27.65,12.63,25.3,-61.48,0.79,4,-2.58,0.663,7.59,0.88,0.67,N/A,12.91,11.39,-0.7,-33.21,-156.25,-73.06,6.32,"1,724.89","1,724.89",0.61,3/19/96,3/18/98,0,"346,990.00",0,0,0,0,0,0,0.46,0,0,0,0.59,0.93,0.36,0.42,0
199603,21.022,3.037,2.057,0.54,0.54,5.143,2.384,3.487,0.223,14.227,14.227,88.587,13.92,10.33,10.54,1.06,45.26,5.31,1.43,0,20.1,9.78,1.8,11.34,6.227,0.099,0.616,11.87,0.148,0.413,0,42.01,22.59,-19.42,4.04,0.8,0.198,"36,261.00","28,974.00","7,287.00","2,048.00",0,"1,691.00","3,548.00",0,0,0,"-2,482.00",-21,"1,066.00",-413,38.74,653,0,653,19,0.54,0.54,"1,724.89","1,691.00","5,239.00","8,140.00",0,"8,140.00",0,0,"3,597.00","3,597.00",0,0,0,0,"7,182.00","7,182.00","12,021.00","30,940.00",0,0,0,0,0,"56,759.00","56,759.00","-25,313.00","31,446.00",0,0,"185,618.00","248,004.00","13,339.00",0,0,0,"13,339.00","1,676.00",0,0,0,"13,935.00","28,950.00","151,127.00",0,"151,127.00",0,"5,329.00","38,058.00","223,464.00",0,0,"17,913.00",0,0,0,"6,627.00","24,540.00",0,"24,540.00",653,0,653,"1,691.00",0,0,0,0,0,0,0,0,"3,670.00","6,014.00","-1,902.00",0,0,0,"-3,443.00","4,992.00",0,0,"-8,095.00","-8,448.00",40,0,0,"2,551.00",-428,47,"2,210.00",-224,"-1,902.00","4,112.00",11.06,2.71,0.98,0.98,4.39,1.52,0.17,1.69,1.22,9.33,27.25,3.67,48.96,0,6.03,"24,010.47","168,673.47",-124.83,-111.62,-122.75,23.81,26.95,8.22,20.08,-65.79,0.8,5,-2.51,0.695,7.74,1.07,0.82,N/A,13.92,11.08,0,-9.22,-57.81,-31.17,6.53,"1,724.89","1,724.89",0.56,5/13/96,5/13/96,0,0,0,0,0,0,0,0,0.69,0,0,0,0.58,1.69,0.43,0.52,0
199606,31.363,5.554,4.169,1.56,1.56,7.212,2.133,5.284,0.223,14.981,14.981,92.002,13.11,29.96,34.05,2.99,63.82,8.58,1.58,0,23.62,13.29,5.02,6.8,6.141,0.099,0.609,14.1,0.149,0.143,0,44.43,22.19,-22.24,4.11,0.76,0.186,"37,937.00","28,976.00","8,961.00","2,243.00",0,"1,675.00","5,043.00",0,0,0,"-2,446.00",-41,"2,597.00",-694,26.72,"1,903.00",0,"1,903.00",16,1.61,1.56,"1,209.62","1,675.00","6,718.00","9,153.00",0,"9,153.00",0,0,"3,559.00","3,559.00",0,0,0,0,"6,908.00","6,908.00","14,996.00","34,616.00",0,0,0,0,0,"57,081.00","57,081.00","-25,313.00","31,768.00",0,0,"194,182.00","260,566.00","14,108.00",0,0,0,"14,108.00","1,913.00",0,0,0,"17,295.00","33,316.00","156,781.00",0,"156,781.00",0,"5,361.00","39,268.00","234,726.00",0,0,"19,387.00",0,0,0,"6,453.00","25,840.00",0,"25,840.00","1,903.00",0,"1,903.00","1,675.00",0,0,0,0,0,0,0,0,"2,814.00","6,392.00","-3,812.00",0,0,0,"3,437.00","-2,221.00",0,0,"-10,183.00","-12,779.00","1,973.00",0,0,"6,043.00",-429,-31,"7,556.00","1,169.00","-3,812.00","2,580.00",8.63,1.82,0.88,0.88,2.3,1.05,0.14,1.33,1.23,9.44,27.47,3.64,54.52,0,6.61,"22,613.31","172,154.31",-130.78,-116.01,-128.77,37.27,29.95,9.83,22.63,-99.87,0.77,5,-2.55,0.707,7.14,1.04,0.83,N/A,15.08,12.86,0,40.84,20,38.19,6.47,"1,172.05","1,724.89",0.8,8/1/96,8/1/96,0,0,0,0,0,0,0,0,0.58,0,0,0,0.35,1.33,0.38,0.44,0
199609,27.878,4.312,2.861,0.55,0.55,7.635,1.855,2.316,0.245,14.878,14.878,88.533,12.65,10.31,12.13,1.06,43.31,4.73,1.4,0,22.01,10.26,2.02,6.65,5.95,0.101,0.602,11.52,0.131,0.445,0,46.87,25.11,-21.76,3.63,0.78,0.215,"33,960.00","26,485.00","7,475.00","2,222.00",0,"1,768.00","3,485.00",0,0,0,"-2,325.00",-67,"1,160.00",-474,40.86,686,0,686,16,0.57,0.55,"1,218.18","1,768.00","5,253.00","8,756.00",0,"8,756.00",0,0,"3,634.00","3,634.00",0,0,0,0,"7,671.00","7,671.00","16,312.00","36,373.00",0,0,0,0,0,"57,918.00","57,918.00","-25,313.00","32,605.00",0,0,"189,523.00","258,501.00","13,605.00",0,0,0,"13,605.00","2,125.00",0,0,0,"17,658.00","33,388.00","153,491.00",0,"153,491.00",0,"5,674.00","39,796.00","232,349.00",0,0,"19,601.00",0,0,0,"6,551.00","26,152.00",0,"26,152.00",686,0,686,"1,768.00",0,0,0,0,0,0,0,0,367,"2,821.00",-561,0,0,0,"-8,362.00","7,502.00",0,0,"-2,354.00","-3,775.00",8,0,0,"1,138.00",-471,-71,604,-350,-561,"2,260.00",7.07,1.66,0.85,0.85,2.2,0.99,0.13,1.23,1.18,9.09,25.69,3.89,56,0,7.23,"22,235.16","169,095.16",-127.21,-111.49,-125.02,40.63,33.1,10.32,24.47,-94.05,0.8,6,-2.56,0.664,7.29,1.09,0.86,N/A,13.87,12.35,-1.9,52,96.43,51.25,5.77,"1,175.44","1,757.72",0.65,10/30/96,10/30/96,0,0,0,0,0,0,0,0,0.52,0,0,0,0.31,1.23,0.37,0.38,0
199612,22.093,1.762,-2.594,-0.346,-0.346,5.862,-0.06,2.293,0.245,15.225,15.225,90.095,13.06,17.99,20.92,1.85,-55.16,4.74,1.35,0,12.13,7.36,3.1,-0.27,5.917,0.102,0.602,7.23,0.149,0,0,31.38,19.16,-12.22,4.76,0.88,0.184,"38,833.00","34,123.00","4,710.00",112,0,"1,741.00","2,857.00",0,0,0,-887,-52,"1,970.00",-585,29.7,"1,385.00",0,"1,204.00",14,-0.346,-0.346,"1,757.73","7,657.00","3,097.00","7,267.00","11,836.00","19,103.00",0,0,"3,133.00","3,133.00",0,0,0,0,"6,656.00","6,656.00","6,489.00","35,381.00","4,790.00",0,0,0,0,"33,527.00","33,527.00",0,"33,527.00",0,0,"189,169.00","262,867.00","11,735.00",508,"7,374.00","16,587.00","36,204.00","1,661.00",0,0,0,0,"37,865.00","156,700.00",0,"156,700.00",0,"14,067.00","27,473.00","236,105.00","1,189.00",0,"20,334.00",-29,"5,268.00",0,0,"26,762.00",0,"26,762.00","1,204.00",0,"1,204.00","7,657.00",0,0,0,0,0,0,0,0,"-4,831.00","4,030.00","-4,135.00",0,0,0,342,-403,0,0,"-2,609.00","-6,805.00",68,0,0,"2,464.00",-472,-852,"1,208.00","-1,567.00","-4,135.00",-105,5.67,2.23,0.86,0.86,2.07,0.98,0.13,1.26,1.1,7.99,21.58,4.63,53.21,0,7.17,"22,955.82","162,213.82",-123.46,-114.2,-121.56,50.01,33.78,0,28.09,-61,0.8,6,-2.57,0.642,6.47,0.93,0.76,N/A,13.51,12.35,0,10.31,59.81,118.88,4.51,"1,757.73","1,757.72",0.62,3/18/97,3/17/99,0,"371,702.00",0,0,0,0,0,0,0.46,0,0,0,0.26,0,0.38,0.39,0
199703,20.596,3.775,2.771,1.2,1.2,6.243,1.689,2.678,0.245,15.504,15.504,89.816,12.7,21.55,26.28,2.24,58.54,6.99,1.22,0,24.91,13.46,4.06,8.2,5.793,0.104,0.603,13.75,0.138,0.204,0,45.41,23.32,-22.09,3.91,0.75,0.192,"36,202.00","27,183.00","9,019.00","2,383.00",0,"1,765.00","4,871.00",0,0,0,"-2,504.00",-59,"2,367.00",-898,37.94,"1,469.00",0,"1,469.00",14,1.23,1.2,"1,757.73","1,765.00","6,636.00","5,798.00",0,"5,798.00",0,0,"3,900.00","3,900.00",0,0,0,0,"7,237.00","7,237.00","18,788.00","35,723.00",0,0,0,0,0,"59,215.00","59,215.00","-26,176.00","33,039.00",0,0,"193,195.00","261,957.00","13,527.00",0,0,0,"13,527.00","1,756.00",0,0,0,"19,448.00","34,731.00","156,115.00",0,"156,115.00",0,"4,818.00","38,361.00","234,025.00",0,0,"21,331.00",0,0,0,"5,921.00","27,252.00",680,"27,932.00","1,469.00",0,"1,469.00","1,765.00",0,0,0,0,0,0,0,0,"1,474.00","4,708.00","-1,739.00",0,0,0,"-1,054.00","1,600.00",0,0,"-5,224.00","-6,417.00",23,0,0,"1,081.00",-479,-258,367,"-1,342.00","-1,739.00","2,969.00",4.28,2.03,0.82,0.82,2.26,1.01,0.12,0.78,1.19,8.07,19.81,5.05,56.76,0,7.54,"22,323.04","175,076.04",-130.23,-113.2,-128.17,52.86,33.64,16.24,32.16,-67.43,0.84,6,-2.57,0.685,6.52,1.03,0.82,N/A,13.87,12.5,0,-2.03,122.22,24.3,5.48,"1,757.73","1,757.72",0.44,5/8/97,5/8/97,0,0,0,0,0,0,0,0,0.39,0,0,0,0.24,0.78,0.36,0.38,0
199706,32.967,6.17,4.718,2.06,2.06,9.514,2.508,4.155,0.267,16.563,16.563,93.217,15.39,35.71,38.4,3.79,69.29,8.52,1.58,0,24.91,14.31,6.28,7.61,5.628,0.107,0.604,15.05,0.151,0.13,0,42.12,20.18,-21.94,4.52,0.75,0.166,"40,265.00","30,233.00","10,032.00","2,496.00",0,"1,774.00","5,762.00",0,0,0,"-2,050.00",-70,"3,712.00","-1,182.00",31.84,"2,530.00",0,"2,530.00",14,2.11,2.06,"1,221.36","1,774.00","7,536.00","5,065.00",0,"5,065.00",0,0,"3,554.00","3,554.00",0,0,0,0,"6,136.00","6,136.00","21,770.00","36,525.00",0,0,0,0,0,"59,667.00","59,667.00","-26,176.00","33,491.00",0,0,"201,400.00","271,416.00","13,956.00",0,0,0,"13,956.00","1,624.00",0,0,0,"18,600.00","34,180.00","162,226.00",0,"162,226.00",0,"5,074.00","40,144.00","241,624.00",0,0,"23,346.00",0,0,0,"5,767.00","29,113.00",679,"29,792.00","2,530.00",0,"2,530.00","1,774.00",0,0,0,0,0,0,0,0,771,"5,075.00","-2,012.00",0,0,0,-729,567,0,0,"-9,649.00","-11,823.00",507,0,0,"5,760.00",-508,241,"6,000.00",-748,"-2,012.00","3,063.00",4.44,1.62,0.93,0.93,2.57,1.35,0.15,0.61,1.25,8.28,19.51,5.13,48.19,0,6.51,"27,051.31","186,515.31",-134.97,-117.07,-133.22,79.39,34.17,25.25,35.93,-99,0.86,7,-2.54,0.72,6.66,1.07,0.89,N/A,15.79,12.45,0,5.11,32.05,11.09,7.29,"1,192.42","1,757.72",0.68,8/7/97,8/7/97,0,0,0,0,0,0,0,0,0.43,0,0,0,0.19,0.61,0.41,0.45,0
199709,29.864,5.116,3.452,0.92,0.92,9.971,5.638,7.911,0.267,16.554,16.554,91.266,18.27,15.13,13.75,1.65,49.26,5.82,1.61,0,24.07,11.56,3.12,18.88,5.513,0.108,0.597,12.74,0.132,0.29,0,49.21,20.74,-28.47,4.4,0.76,0.173,"36,096.00","27,408.00","8,688.00","2,504.00",0,"2,011.00","4,173.00",0,0,0,"-2,453.00",-84,"1,720.00",-595,34.59,"1,125.00",0,"1,125.00",13,0.94,0.92,"1,208.70","2,011.00","6,184.00","7,144.00",0,"7,144.00",0,0,"3,663.00","3,663.00",0,0,0,0,"6,320.00","6,320.00","21,640.00","38,767.00",0,0,0,0,0,"60,458.00","60,458.00","-26,176.00","34,282.00",0,0,"201,174.00","274,223.00","14,780.00",0,0,0,"14,780.00","1,587.00",0,0,0,"20,070.00","36,437.00","162,027.00",0,"162,027.00",0,"5,181.00","40,222.00","243,867.00",0,0,"23,954.00",0,0,0,"5,723.00","29,677.00",679,"30,356.00","1,125.00",0,"1,125.00","2,011.00",0,0,0,0,0,0,0,0,"6,426.00","9,562.00","-2,747.00",0,0,0,-546,668,0,0,"-4,582.00","-7,207.00",152,0,0,110,-541,27,-252,"2,103.00","-2,747.00","6,815.00",4.77,1.83,1.1,1.1,1.87,1.07,0.17,0.48,1.25,8.1,18.53,5.4,47.01,0,5.6,"32,752.81","189,901.81",-132.43,-114.79,-130.66,89.66,34.82,37.73,37.79,-95.75,0.88,7,-2.65,0.688,5.54,1.06,0.89,N/A,18.4,15.56,-1.99,7.12,67.27,18.65,9.84,"1,182.98","1,792.71",0.54,11/5/97,10/15/98,0,0,0,0,0,0,0,0,0.48,0,0,0,0.2,0.48,0.48,0.52,0
